"Product/Service Name","Variant Name","Quantity on hand","Item type","Single,parent or variant?","Category","SKU","Taxable","Option 1 name","Option 1 value","Option 2 name","Option 2 value","Option 3 name","Option 3 value","Option 4 name","Option 4 value","Option 5 name","Option 5 value","Price","Cost","Income Account","Expense Account","Inventory asset account","Sales Description","Purchase Description","Reorder Point"
"6660000-666","",0,"Non-Inventory","Single",,"EA","Yes","","","","","","","","","","",1680.27,1596.26,"Sales of Product Income","Cost of Goods Sold","","6660000-666
GE Carescape V100 Portrait VSM ATO Model (Equivalent to 2108172-001)

***Items 1-7 and 11, 13-14 map to the main Carescape V100 package (2108172-001-596169)***","6660000-666
GE Carescape V100 Portrait VSM ATO Model (Equivalent to 2108172-001)

***Items 1-7 and 11, 13-14 map to the main Carescape V100 package (2108172-001-596169)***",0
"6660123-71","",0,"Non-Inventory","Single",,"EA","Yes","","","","","","","","","","",126.13,119.82,"Sales of Product Income","Cost of Goods Sold","","6660123-71
GE Bin for DINAMAP Mobility Workstation
***Items 9-10 map to the Bin for DINAMAP (2073234-001)***","6660123-71
GE Bin for DINAMAP Mobility Workstation
***Items 9-10 map to the Bin for DINAMAP (2073234-001)***",0
"6660123-ED","",0,"Non-Inventory","Single",,"EA","Yes","","","","","","","","","","",295.37,280.6,"Sales of Product Income","Cost of Goods Sold","","6660123-ED
GE VSM1.0 SW Flexnet Offering with Printer","6660123-ED
GE VSM1.0 SW Flexnet Offering with Printer",0
"666123-72","",0,"Non-Inventory","Single",,"EA","Yes","","","","","","","","","","",111.15,105.59,"Sales of Product Income","Cost of Goods Sold","","666123-72
GE Roll Stand Bottle Holder Kit (1/box)","666123-72
GE Roll Stand Bottle Holder Kit (1/box)",0
"666134","",0,"Non-Inventory","Single",,,"Yes","","","","","","","","","","",408.29,393.88,"Sales of Product Income","Cost of Goods Sold","","Insulin Syringe with Needle VanishPoint(R) 0.5 mL 30 Gauge 1/2 Inch Regular Wall Retractable Safety Needle","Insulin Syringe with Needle VanishPoint(R) 0.5 mL 30 Gauge 1/2 Inch Regular Wall Retractable Safety Needle",0
"668875","",0,"Non-Inventory","Single",,"CS","Yes","","","","","","","","","","",202.58,192.93,"Sales of Product Income","Cost of Goods Sold","","668875
Needleless Connector MaxPlus Tru-Swab®","668875
Needleless Connector MaxPlus Tru-Swab®",0
"669084","",0,"Non-Inventory","Single",,,"Yes","","","","","","","","","","",70.29,68.24,"Sales of Product Income","Cost of Goods Sold","","Donovan Industries DawnMist(R) #TS4487 Baby Shampoo 4 oz. Flip Top Bottle Baby Fresh Scent","Donovan Industries DawnMist(R) #TS4487 Baby Shampoo 4 oz. Flip Top Bottle Baby Fresh Scent",0
"671290","",0,"Non-Inventory","Single",,,"Yes","","","","","","","","","","",66.15,63,"Sales of Product Income","Cost of Goods Sold","","A & D Ointment We Care  from Dynarex 5 Gram Individual Packet Medicinal Scent Ointment
A&D, OINT 5GM (144/BX 6BX/CS)","A & D Ointment We Care  from Dynarex 5 Gram Individual Packet Medicinal Scent Ointment
A&D, OINT 5GM (144/BX 6BX/CS)",0
"6722688","",0,"Non-Inventory","Single",,"PK","Yes","","","","","","","","","","",38.25,28.69,"Sales of Product Income","Cost of Goods Sold","","6722688
Office Depot® Brand Composition Books, 7-1/2"" x 9-3/4"", College Ruled, 100 Sheets, Black/White, Case Of 24 Notebooks","6722688
Office Depot® Brand Composition Books, 7-1/2"" x 9-3/4"", College Ruled, 100 Sheets, Black/White, Case Of 24 Notebooks",0
"67802","",0,"Non-Inventory","Single",,"67802","Yes","","","","","","","","","","",48.27,45.54,"Sales of Product Income","Cost of Goods Sold","","BRIEF, TENA STRCH ULTR MED/REG(36/BG 2BG/CS)",,0
"680331","",0,"Non-Inventory","Single",,,"Yes","","","","","","","","","","",1.27,"0","Sales of Product Income","Cost of Goods Sold","","Antifungal Sunmark 2% Strength 1 ounce Tube","Antifungal Sunmark 2% Strength 1 ounce Tube",0
"680709300245","",0,"Non-Inventory","Single",,"BX","Yes","","","","","","","","","","",26.4,20,"Sales of Product Income","Cost of Goods Sold","","680709300245
Pop Tarts Frosted Chocolate Fudge 32 Count Pastries, 58.6 Oz (3 Lb 10.6 Oz)","680709300245
Pop Tarts Frosted Chocolate Fudge 32 Count Pastries, 58.6 Oz (3 Lb 10.6 Oz)",0
"681762","",0,"Non-Inventory","Single",,"CS","Yes","","","","","","","","","","",900.46,857.58,"Sales of Product Income","Cost of Goods Sold","","Heel Protection Boot with Wedge Prevalon® One Size Fits Most","Heel Protection Boot with Wedge Prevalon® One Size Fits Most",0
"687795","",0,"Non-Inventory","Single",,,"Yes","","","","","","","","","","",283.06,274.82,"Sales of Product Income","Cost of Goods Sold","","RJ Schinner Co Solo(R) #P101M Graduated Medicine Cup Solo(R) 1 oz. Clear Plastic Disposable","RJ Schinner Co Solo(R) #P101M Graduated Medicine Cup Solo(R) 1 oz. Clear Plastic Disposable",0
"689181","",0,"Non-Inventory","Single",,"EA","Yes","","","","","","","","","","",1.94,1.83,"Sales of Product Income","Cost of Goods Sold","","689181
Stool Softener / Laxative Health Star® Tablet 60 per Bottle 50 mg - 8.6 mg Strength Docusate Sodium /Sennosides","689181
Stool Softener / Laxative Health Star® Tablet 60 per Bottle 50 mg - 8.6 mg Strength Docusate Sodium /Sennosides",0
"689190","",0,"Non-Inventory","Single",,"EA","Yes","","","","","","","","","","",2.2,2.08,"Sales of Product Income","Cost of Goods Sold","","Joint Health Supplement Geri-Care® 600 mg Strength
Caplet 60 per Bottle McKesson # 689190
Manufacturer # 746-06-GCP","Joint Health Supplement Geri-Care® 600 mg Strength
Caplet 60 per Bottle McKesson # 689190
Manufacturer # 746-06-GCP",0
"689195","",0,"Non-Inventory","Single",,"EA","Yes","","","","","","","","","","",5.07,4.78,"Sales of Product Income","Cost of Goods Sold","","689195
70677013401 LORATADINE, TAB 10MG SM (30/BT)
 Allergy Relief Geri-Care 10 mg Strength Tablet 90 per Bottle","689195
70677013401 LORATADINE, TAB 10MG SM (30/BT)
 Allergy Relief Geri-Care 10 mg Strength Tablet 90 per Bottle",0
"689279881154","",0,"Non-Inventory","Single",,"EA","Yes","","","","","","","","","","",24.67,18.5,"Sales of Product Income","Cost of Goods Sold","","689279881154
Tootsie Roll Midgees - Chewy Chocolate Gluten-Free Candy - Resealable Bag of Individually Wrapped Candies for Kids, Parties, Classroom - 700 Count","689279881154
Tootsie Roll Midgees - Chewy Chocolate Gluten-Free Candy - Resealable Bag of Individually Wrapped Candies for Kids, Parties, Classroom - 700 Count",0
"689358166912","",0,"Non-Inventory","Single",,"BX","Yes","","","","","","","","","","",76.98,69.98,"Sales of Product Income","Cost of Goods Sold","","Popcorn, White Cheddar Cheese, .625 Oz, 50/Box","Popcorn, White Cheddar Cheese, .625 Oz, 50/Box",0
"689638","",0,"Non-Inventory","Single",,"BX","Yes","","","","","","","","","","",11.58,10.6,"Sales of Product Income","Cost of Goods Sold","","689638
Laxative HEALTHSTAR® Suppository 100 per Box 10 mg, Strength Bisacodyl USP","689638
Laxative HEALTHSTAR® Suppository 100 per Box 10 mg, Strength Bisacodyl USP",0
"689859891689","",0,"Non-Inventory","Single",,"BG","Yes","","","","","","","","","","",105.6,80,"Sales of Product Income","Cost of Goods Sold","","689859891689
Assorted Chocolate Candy Variety Pack, Fun Size, Holiday Candy, Halloween Candy, Office Chocolate Assortment, Individually Wrapped Candies, 10 LBS)","689859891689
Assorted Chocolate Candy Variety Pack, Fun Size, Holiday Candy, Halloween Candy, Office Chocolate Assortment, Individually Wrapped Candies, 10 LBS)",0
"692891499","",0,"Non-Inventory","Single",,"PK","Yes","","","","","","","","","","",24.78,21,"Sales of Product Income","Cost of Goods Sold","","692891499
Lion Brand Yarn Basic Stitch Anti Pilling Pine Heather Medium Acrylic Green Yarn 3 Pack","692891499
Lion Brand Yarn Basic Stitch Anti Pilling Pine Heather Medium Acrylic Green Yarn 3 Pack",0
"697315","",0,"Non-Inventory","Single",,,"Yes","","","","","","","","","","",30.09,29.21,"Sales of Product Income","Cost of Goods Sold","","Scott Specialties Sport-Aid  #SA0109 BLA M/L Occupational Back Support Medium / Large Hook and Loop Closure 32 to 44 Inch Hip Circumference 9 Inch Height Adult","Scott Specialties Sport-Aid  #SA0109 BLA M/L Occupational Back Support Medium / Large Hook and Loop Closure 32 to 44 Inch Hip Circumference 9 Inch Height Adult",0
"697316","",0,"Non-Inventory","Single",,,"Yes","","","","","","","","","","",30.09,29.21,"Sales of Product Income","Cost of Goods Sold","","Scott Specialties Sport-Aid  #SA0109 BLA XL Occupational Back Support Sport-Aid  X-Large Hook and Loop Closure 40 to 55 Inch Hip Circumference 9 Inch Height Adult","Scott Specialties Sport-Aid  #SA0109 BLA XL Occupational Back Support Sport-Aid  X-Large Hook and Loop Closure 40 to 55 Inch Hip Circumference 9 Inch Height Adult",0
"7014","",0,"Non-Inventory","Single",,"PK","Yes","","","","","","","","","","",103.09,89.64,"Sales of Product Income","Cost of Goods Sold","","HCL® Class A Amber Blisters, Medium, PVdC","HCL® Class A Amber Blisters, Medium, PVdC",0
"7016","",0,"Non-Inventory","Single",,"PK","Yes","","","","","","","","","","",103.09,89.64,"Sales of Product Income","Cost of Goods Sold","","HCL® Class A Amber Blisters, Small, PVdC","HCL® Class A Amber Blisters, Small, PVdC",0
"702658","",0,"Non-Inventory","Single",,"BX","Yes","","","","","","","","","","",165.96,158.06,"Sales of Product Income","Cost of Goods Sold","","I.V. Dressing with CHG Biopatch® CHG (Chlorhexidine Gluconate) 1 Inch Disk With 4.0mm Center Hole Sterile","I.V. Dressing with CHG Biopatch® CHG (Chlorhexidine Gluconate) 1 Inch Disk With 4.0mm Center Hole Sterile",0
"702659","",0,"Non-Inventory","Single",,"BX","Yes","","","","","","","","","","",165.96,158.06,"Sales of Product Income","Cost of Goods Sold","","I.V. Dressing with CHG Biopatch® CHG (Chlorhexidine Gluconate) 3/4 Inch Disk (1.9 cm) with1.5 mm Center Hole Sterile","I.V. Dressing with CHG Biopatch® CHG (Chlorhexidine Gluconate) 3/4 Inch Disk (1.9 cm) with1.5 mm Center Hole Sterile",0
"702660","",0,"Non-Inventory","Single",,"BX","Yes","","","","","","","","","","",165.96,158.06,"Sales of Product Income","Cost of Goods Sold","","I.V. Dressing with CHG Biopatch® CHG (Chlorhexidine Gluconate) 1 Inch Disk (2.5 cm) With 7.0 mm Center Hole Sterile","I.V. Dressing with CHG Biopatch® CHG (Chlorhexidine Gluconate) 1 Inch Disk (2.5 cm) With 7.0 mm Center Hole Sterile",0
"702833","",0,"Non-Inventory","Single",,"EA","Yes","","","","","","","","","","",29.62,28.21,"Sales of Product Income","Cost of Goods Sold","","BSN Medical JOBST® Relief® #114807 Compression Stocking JOBST® Relief® Knee High Medium Beige Closed Toe",,0
"702834","",0,"Non-Inventory","Single",,"702834","Yes","","","","","","","","","","",29.62,28.21,"Sales of Product Income","Cost of Goods Sold","","BSN Medical JOBST® Relief® #114808 Compression Stocking JOBST® Relief® Knee High Large Beige Closed Toe",,0
"703817","",0,"Non-Inventory","Single",,"CS","Yes","","","","","","","","","","",40.44,38.15,"Sales of Product Income","Cost of Goods Sold","","703817
Nasal Cannula Comfort Soft Plus® Adult Curved Prong /NonFlared Tip 7 Foot O2 Line","703817
Nasal Cannula Comfort Soft Plus® Adult Curved Prong /NonFlared Tip 7 Foot O2 Line",0
"7049M3","",0,"Non-Inventory","Single",,"EA","Yes","","","","","","","","","","",262.3,"0","Sales of Product Income","","","7049M3
Cooler, Specimen Transport, Rolling, Softside","",0
"70662010020","",0,"Non-Inventory","Single",,"CASE","Yes","","","","","","","","","","",19.99,16.99,"Sales of Product Income","Cost of Goods Sold","","70662010020
SOUP, NOODLE, BEEF
FLAVOR, INSTANT, 3 OZ,
24/CS
Nissin Top Ramen Noodle Soup, Beef, 3 Ounce (Pack of 24)","70662010020
SOUP, NOODLE, BEEF
FLAVOR, INSTANT, 3 OZ,
24/CS
Nissin Top Ramen Noodle Soup, Beef, 3 Ounce (Pack of 24)",0
"7076","",0,"Non-Inventory","Single",,"PK","Yes","","","","","","","","","","",103.09,89.64,"Sales of Product Income","Cost of Goods Sold","","HCL® Class A Amber Blisters, Large, PVdC","HCL® Class A Amber Blisters, Large, PVdC",0
"709216","",0,"Non-Inventory","Single",,"EA","Yes","","","","","","","","","","",47.82,40.75,"Sales of Product Income","Cost of Goods Sold","","Unisex Adult Incontinence Brief TENA ProSkin Stretch  Ultra Medium Disposable Heavy Absorbency","Unisex Adult Incontinence Brief TENA ProSkin Stretch  Ultra Medium Disposable Heavy Absorbency",0
"70953701101","",0,"Non-Inventory","Single",,"BX","Yes","","","","","","","","","","",23.08,20.98,"Sales of Product Income","Cost of Goods Sold","","Glazed Buns, 3 Oz, 18/Pac","Glazed Buns, 3 Oz, 18/Pac",0
"7100239426","",0,"Non-Inventory","Single",,"BX","Yes","","","","","","","","","","",115.52,108.98,"Sales of Product Income","Cost of Goods Sold","","Collagen Dressing 3MTM Promogran(TM) Matrix, 4 Square Inch Hexagon Sterile 3M","Collagen Dressing 3MTM Promogran(TM) Matrix, 4 Square Inch Hexagon Sterile 3M",0
"710610","",0,"Non-Inventory","Single",,,"Yes","","","","","","","","","","",406.61,"0","Sales of Product Income","Cost of Goods Sold","","Wound and Burn Dressing MEDIHONEY Paste 3.5 oz. Tube Sterile","Wound and Burn Dressing MEDIHONEY Paste 3.5 oz. Tube Sterile",0
"711289","",0,"Non-Inventory","Single",,"BX","Yes","","","","","","","","","","",32.76,31.2,"Sales of Product Income","Cost of Goods Sold","","Smith & Nephew Acticoat Flex 3 #66800402 Silver Barrier Dressing Acticoat Flex 3 2 X 2 Inch Square Sterile","Smith & Nephew Acticoat Flex 3 #66800402 Silver Barrier Dressing Acticoat Flex 3 2 X 2 Inch Square Sterile",0
"71159000197","",0,"Non-Inventory","Single",,"PK","Yes","","","","","","","","","","",17.95,14,"Sales of Product Income","Cost of Goods Sold","","71159000197
CORN NUTS Ranch Flavored Corn Kernels, Crunchy Corn Snacks, Snack Box, Variety Packs for Adults, 1.7 oz. (Pack of 18)","71159000197
CORN NUTS Ranch Flavored Corn Kernels, Crunchy Corn Snacks, Snack Box, Variety Packs for Adults, 1.7 oz. (Pack of 18)",0
"71159001750","",0,"Non-Inventory","Single",,"PK","Yes","","","","","","","","","","",11.54,9,"Sales of Product Income","Cost of Goods Sold","","71159001750
CORN NUTS Chile Picante con Limon Flavored Corn Kernels, Crunchy Corn Snacks, Snack Box, Variety Packs, Food for Adults, 1.7oz. (Pack of 18)","71159001750
CORN NUTS Chile Picante con Limon Flavored Corn Kernels, Crunchy Corn Snacks, Snack Box, Variety Packs, Food for Adults, 1.7oz. (Pack of 18)",0
"712614","",0,"Non-Inventory","Single",,"CS","Yes","","","","","","","","","","",298.44,278.92,"Sales of Product Income","Cost of Goods Sold","","712614
Urinary Drainage Bag Holder McKesson For Wheelchair,
Geri-chair or Bed Rails HOLDER, DRAIN BAG ADJ STRAPS NAVY (50/CS)","712614
Urinary Drainage Bag Holder McKesson For Wheelchair,
Geri-chair or Bed Rails HOLDER, DRAIN BAG ADJ STRAPS NAVY (50/CS)",0
"712759SAC","",0,"Non-Inventory","Single",,"KT","Yes","","","","","","","","","","",18.26,14.97,"Sales of Product Income","Cost of Goods Sold","","712759SAC
Smarts & Crafts Go: Scratch Art Studio, Gender Neutral Kids Activity Kit, 53 Pieces, Child Ages 6+, Unisex","712759SAC
Smarts & Crafts Go: Scratch Art Studio, Gender Neutral Kids Activity Kit, 53 Pieces, Child Ages 6+, Unisex",0
"71662077228","",0,"Non-Inventory","Single",,"PK","Yes","","","","","","","","","","",5.48,4.49,"Sales of Product Income","Cost of Goods Sold","","71662077228
Crayola Broad Line Markers, Classic Colors 10 Each, 10 Count (Pack of 1)","71662077228
Crayola Broad Line Markers, Classic Colors 10 Each, 10 Count (Pack of 1)",0
"717729","",0,"Non-Inventory","Single",,"CS","Yes","","","","","","","","","","",141.07,131.84,"Sales of Product Income","Cost of Goods Sold","","717729
Urinary Drain Bag The Fig LeafTM Anti-Reflux Valve Sterile
2,000 mL Vinyl
BAG, DRAIN FIG LEAF W/CVR (20/BX)","717729
Urinary Drain Bag The Fig LeafTM Anti-Reflux Valve Sterile
2,000 mL Vinyl
BAG, DRAIN FIG LEAF W/CVR (20/BX)",0
"718282","",0,"Non-Inventory","Single",,"BX","Yes","","","","","","","","","","",12.39,11.58,"Sales of Product Income","Cost of Goods Sold","","718282
Blood Glucose Test Strips Assure® Platinum 50 Strips per Pack, TEST STRIP, BLD GLUCOSE ASSUREPLATINUM (50/BX)","718282
Blood Glucose Test Strips Assure® Platinum 50 Strips per Pack, TEST STRIP, BLD GLUCOSE ASSUREPLATINUM (50/BX)",0
"72221809","",0,"Non-Inventory","Single",,"PK","Yes","","","","","","","","","","",18.65,13.99,"Sales of Product Income","Cost of Goods Sold","","72221809
Office Depot® Brand Composition Book, 7-1/2"" x 9-3/4"", College Ruled, 100 Sheets, Black/White","72221809
Office Depot® Brand Composition Book, 7-1/2"" x 9-3/4"", College Ruled, 100 Sheets, Black/White",0
"72250910057","",0,"Non-Inventory","Single",,"PK","Yes","","","","","","","","","","",18.59,14.5,"Sales of Product Income","Cost of Goods Sold","","72250910057
Mrs. Freshley's Jumbo Honey Buns (Pack of 9)","72250910057
Mrs. Freshley's Jumbo Honey Buns (Pack of 9)",0
"724049","",0,"Non-Inventory","Single",,"CS","Yes","","","","","","","","","","",35.54,33.94,"Sales of Product Income","Cost of Goods Sold","","724049
Disposable Underpad McKesson Super 30 X 30 Inch Fluff / Polymer Moderate Absorbency","724049
Disposable Underpad McKesson Super 30 X 30 Inch Fluff / Polymer Moderate Absorbency",0
"724456504331","",0,"Non-Inventory","Single",,"BX","Yes","","","","","","","","","","",57.69,45,"Sales of Product Income","Cost of Goods Sold","","724456504331
5 Lb Assorted Bulk Chocolate Candy Mix - Fun Size, Holiday, Office Assortment","724456504331
5 Lb Assorted Bulk Chocolate Candy Mix - Fun Size, Holiday, Office Assortment",0
"724618","",0,"Non-Inventory","Single",,"CS","Yes","","","","","","","","","","",51.48,48.11,"Sales of Product Income","Cost of Goods Sold","","724618
Toothbrush Colgate® White Adult Soft, TOOTHBRUSH, SOFT IND WRAP ADLT(144/CS)","724618
Toothbrush Colgate® White Adult Soft, TOOTHBRUSH, SOFT IND WRAP ADLT(144/CS)",0
"724919","",0,"Non-Inventory","Single",,"CS","Yes","","","","","","","","","","",35.77,34.07,"Sales of Product Income","Cost of Goods Sold","","McKesson Brand Ultra #UWBXXL Unisex Adult Absorbent Underwear McKesson Ultra Pull On with Tear Away Seams 2X-Large Disposable Heavy Absorbency","McKesson Brand Ultra #UWBXXL Unisex Adult Absorbent Underwear McKesson Ultra Pull On with Tear Away Seams 2X-Large Disposable Heavy Absorbency",0
"726380","",0,"Non-Inventory","Single",,"CS","Yes","","","","","","","","","","",86.23,82.12,"Sales of Product Income","Cost of Goods Sold","","Clorox Healthcare(R) Surface Disinfectant Cleaner Premoistened Germicidal Manual Pull Wipe 150 Count Canister Floral Scent NonSterile","Clorox Healthcare(R) Surface Disinfectant Cleaner Premoistened Germicidal Manual Pull Wipe 150 Count Canister Floral Scent NonSterile",0
"727057","",0,"Non-Inventory","Single",,,"Yes","","","","","","","","","","",108.89,105.72,"Sales of Product Income","Cost of Goods Sold","","Medline #DYND11500 Foley Catheter 2-Way Firm Tip 10 cc Balloon 12 Fr. Silicone","Medline #DYND11500 Foley Catheter 2-Way Firm Tip 10 cc Balloon 12 Fr. Silicone",0
"72799111892","",0,"Non-Inventory","Single",,"PK","Yes","","","","","","","","","","",25.64,20,"Sales of Product Income","Cost of Goods Sold","","72799111892
Werther's Original Hard Carmel Coffee Candy, 2.65 Oz Bags (Pack of 12)","72799111892
Werther's Original Hard Carmel Coffee Candy, 2.65 Oz Bags (Pack of 12)",0
"728404","",0,"Non-Inventory","Single",,"CS","Yes","","","","","","","","","","",284,270.48,"Sales of Product Income","Cost of Goods Sold","","Heel Protection Boot with Wedge Prevalon® X-Large","Heel Protection Boot with Wedge Prevalon® X-Large",0
"733254","",0,"Non-Inventory","Single",,"CS","Yes","","","","","","","","","","",48.15,45,"Sales of Product Income","Cost of Goods Sold","","733254
Irrigation Solution - OTC McKesson Sterile Water for Irrigation Not for Injection Bottle, Screw Top 500 mL, WATER, IRR SOL STR 500ML (18/CS), ***ITEM ON ALLOCATION, NO ETA. ORDER WILL BE
CANCELLED***, UNAVAILABLE SUPPLY DUE TO NATIONAL STOCK DIVERTED TO NATIONAL EMERGENCIES","733254
Irrigation Solution - OTC McKesson Sterile Water for Irrigation Not for Injection Bottle, Screw Top 500 mL, WATER, IRR SOL STR 500ML (18/CS), ***ITEM ON ALLOCATION, NO ETA. ORDER WILL BE
CANCELLED***, UNAVAILABLE SUPPLY DUE TO NATIONAL STOCK DIVERTED TO NATIONAL EMERGENCIES",0
"733255","",0,"Non-Inventory","Single",,"CS","Yes","","","","","","","","","","",47.76,42.64,"Sales of Product Income","Cost of Goods Sold","","733255
Irrigation Solution - OTC McKesson 0.9% Sodium Chloride Not for Injection Bottle, Screw Top 500 mL","733255
Irrigation Solution - OTC McKesson 0.9% Sodium Chloride Not for Injection Bottle, Screw Top 500 mL",0
"733485","",0,"Non-Inventory","Single",,"733485","Yes","","","","","","","","","","",29.62,28.21,"Sales of Product Income","Cost of Goods Sold","","BSN Medical JOBST® Relief® #114809 Compression Stocking JOBST® Relief® Knee High X-Large Beige Closed Toe",,0
"734205","",0,"Non-Inventory","Single",,,"Yes","","","","","","","","","","",33.63,32.65,"Sales of Product Income","Cost of Goods Sold","","Scott Specialties Sport-Aid  #SA0109 BLA 2X Occupational Back Support 2X-Large Hook and Loop Closure 44 Inch Hip Circumference 9 Inch Height Adult","Scott Specialties Sport-Aid  #SA0109 BLA 2X Occupational Back Support 2X-Large Hook and Loop Closure 44 Inch Hip Circumference 9 Inch Height Adult",0
"734209","",0,"Non-Inventory","Single",,,"Yes","","","","","","","","","","",30.09,29.21,"Sales of Product Income","Cost of Goods Sold","","Scott Specialties Sport-Aid  #SA0109 BLA X/S Occupational  Support X-Small Hook and Loop Closure 26 to 36 Inch Hip Circumference 9 Inch Height Adult","Scott Specialties Sport-Aid  #SA0109 BLA X/S Occupational  Support X-Small Hook and Loop Closure 26 to 36 Inch Hip Circumference 9 Inch Height Adult",0
"734470","",0,"Non-Inventory","Single",,"734470","Yes","","","","","","","","","","",28.89,28.05,"Sales of Product Income","Cost of Goods Sold","","Medline #DT7095BP Dressing Change Tray Peripherally Inserted Central Catheter",,0
"737838798211","",0,"Non-Inventory","Single",,"PK","Yes","","","","","","","","","","",7.31,5.99,"Sales of Product Income","Cost of Goods Sold","","737838798211
24ct Chalk Pastels - Mondo Llama™","737838798211
24ct Chalk Pastels - Mondo Llama™",0
"747204","",0,"Non-Inventory","Single",,"BX","Yes","","","","","","","","","","",50.84,48.42,"Sales of Product Income","Cost of Goods Sold","","Adhesive Strip PolyMem® 2 X 4 Inch Polyurethane / Film Rectangle Pink / White Sterile","Adhesive Strip PolyMem® 2 X 4 Inch Polyurethane / Film Rectangle Pink / White Sterile",0
"749278","",0,"Non-Inventory","Single",,"PK","Yes","","","","","","","","","","",49.48,44.98,"Sales of Product Income","Cost of Goods Sold","","Chocolate Bar Nougat, 1.86 Oz, 48/Pac","Chocolate Bar Nougat, 1.86 Oz, 48/Pac",0
"752025641767","",0,"Non-Inventory","Single",,"BX","Yes","","","","","","","","","","",51.28,40,"Sales of Product Income","Cost of Goods Sold","","752025641767
Smartfood Popcorn, White Cheddar, 1 Ounce (Pack of 64)","752025641767
Smartfood Popcorn, White Cheddar, 1 Ounce (Pack of 64)",0
"75602101028","",0,"Non-Inventory","Single",,"PK","Yes","","","","","","","","","","",19.23,15,"Sales of Product Income","Cost of Goods Sold","","75602101028
Farley's & Sathers Candy, Orange Slices, 4.85 Ounce, Pack of 12","75602101028
Farley's & Sathers Candy, Orange Slices, 4.85 Ounce, Pack of 12",0
"759598464076","",0,"Non-Inventory","Single",,"RM","Yes","","","","","","","","","","",13.9,11.39,"Sales of Product Income","Cost of Goods Sold","","759598464076
8.5""x11"" 72-Sheet Cardstock 18 Colors - Astrodesigns","759598464076
8.5""x11"" 72-Sheet Cardstock 18 Colors - Astrodesigns",0
"759598913406","",0,"Non-Inventory","Single",,"RM","Yes","","","","","","","","","","",15.85,12.99,"Sales of Product Income","Cost of Goods Sold","","759598913406
Astrobrights Black Cardstock","759598913406
Astrobrights Black Cardstock",0
"761938","",0,"Non-Inventory","Single",,"761938","Yes","","","","","","","","","","",127.03,120.98,"Sales of Product Income","Cost of Goods Sold","","Medline Medline #DYND11008 Indwelling Catheter Tray Medline Closed System / Foley 18 Fr. Silicone Elastomer",,0
"763216","",0,"Non-Inventory","Single",,"763216","Yes","","","","","","","","","","",7,6.67,"Sales of Product Income","Cost of Goods Sold","","Calmoseptine Calmoseptine® #00799000104 Skin Protectant Calmoseptine® 4 oz. Tube Scented Ointment",,0
"763435","",0,"Non-Inventory","Single",,"CS","Yes","","","","","","","","","","",56.09,53.57,"Sales of Product Income","Cost of Goods Sold","","763435
Unisex Adult Incontinence Brief Tranquility® AIR-Plus™, Bariatric 4 to 5X-Large Disposable Heavy Absorbency","763435
Unisex Adult Incontinence Brief Tranquility® AIR-Plus™, Bariatric 4 to 5X-Large Disposable Heavy Absorbency",0
"764551","",0,"Non-Inventory","Single",,"CS","Yes","","","","","","","","","","",40.32,38.04,"Sales of Product Income","Cost of Goods Sold","","Bladder Control Pad Depend® Fresh Protection ™ Guards for Men 12 Inch Length Heavy Absorbency Sodium Polyacrylate Core One Size Fits Most","Bladder Control Pad Depend® Fresh Protection ™ Guards for Men 12 Inch Length Heavy Absorbency Sodium Polyacrylate Core One Size Fits Most",0
"765874","",0,"Non-Inventory","Single",,"765874","Yes","","","","","","","","","","",205.21,195.44,"Sales of Product Income","Cost of Goods Sold","","McKesson Brand McKesson Confiderm® 3.5C #14-6974C Exam Glove McKesson Confiderm® 3.5C Small NonSterile Nitrile Standard Cuff Length Textured Fingertips Blue Chemo Tested",,0
"767197","",0,"Non-Inventory","Single",,"767197","Yes","","","","","","","","","","",151.16,143.96,"Sales of Product Income","Cost of Goods Sold","","McKesson Brand McKesson Confiderm® 3.5C #14-6980C Exam Glove McKesson Confiderm® 3.5C X-Large NonSterile Nitrile Standard Cuff Length Textured Fingertips Blue Chemo Tested",,0
"767563734857","",0,"Non-Inventory","Single",,"PK","Yes","","","","","","","","","","",29.96,26.99,"Sales of Product Income","Cost of Goods Sold","","Pickle, Jumbo Dill, Picklein-A-Pouch, 12/Pac","Pickle, Jumbo Dill, Picklein-A-Pouch, 12/Pac",0
"767991","",0,"Non-Inventory","Single",,,"Yes","","","","","","","","","","",30.69,29.8,"Sales of Product Income","Cost of Goods Sold","","Thin Silicone Foam Dressing Allevyn Gentle Border Lite
2-1/8 X 4-3/4 Inch Rectangle Silicone Gel Adhesive with
Border Sterile
McKesson #767991
Manufacturer #66800836","Smith & Nephew Allevyn Gentle Border Lite #66800836 Thin Silicone Foam Dressing 2-1/8 X 4-3/4 Inch Rectangle Silicone Gel Adhesive with Border Sterile",0
"767993","",0,"Non-Inventory","Single",,,"Yes","","","","","","","","","","",77.72,74.02,"Sales of Product Income","Cost of Goods Sold","","Thin Silicone Foam Dressing Allevyn Gentle Border Lite 6 X 6 Inch Square Silicone Gel Adhesive with Border Sterile","Thin Silicone Foam Dressing Allevyn Gentle Border Lite 6 X 6 Inch Square Silicone Gel Adhesive with Border Sterile",0
